"date";"BE";"C1";"C2";"C3";"C4";"C5";"DE"
"2023-04-01";95.92;92.01;93.84;97.86;109.92;95.97;88.49
"2023-05-01";97.25;97;139.54;99.99;113.33;97.71;81.13
"2023-06-01";107.69;102.11;139.17;122.05;136.42;109.71;77.66
"2023-07-01";96.22;95.78;152.13;100.03;100.04;99.25;79.3
"2023-08-01";79.99;97.59;156.67;76.17;79.42;75.52;75.19
"2023-09-01";101.45;98.36;148.44;111.5;122.14;102.63;78
"2023-10-01";106.05;104.84;138.79;110.66;129.18;106.97;84.85
"2023-11-01";108.22;101.61;136.02;114.34;132.3;104.3;101.87
"2023-12-01";100.15;91.73;138.92;106.82;113.61;91.09;113.09
"2024-01-01";106.09;97.84;120.48;93.68;113.79;101.4;124.61
"2024-02-01";103.5;95.22;118.7;102.29;113.52;103.12;103.03
"2024-03-01";107.63;98.03;116.37;113.52;119.44;107.69;102.11
"2024-04-01";102.56;97.01;116.73;105.36;113.47;105.86;88.05
"2024-05-01";94.62;95.07;125.58;93.32;101.9;96.77;82.28
"2024-06-01";102.07;96.43;140.3;108.48;121.09;105.56;78.38
"2024-07-01";103.03;103.63;144.03;106.91;103.55;108.32;82.64
"2024-08-01";78.56;94.96;141.67;70.39;70.69;76.2;77.29
"2024-09-01";100.88;100.25;137.02;107.71;117.01;102.9;79.07
"2024-10-01";108.27;109.97;140.7;112.92;121.79;110.17;88.22
"2024-11-01";102.93;96.16;141.9;103.66;118.56;99.46;102.94
"2024-12-01";101.58;94.84;149.92;111.67;107.63;91.35;117.91
"2025-01-01";104.91;98.39;142.26;91.51;105.78;99.67;126.46
"2025-02-01";101.19;91.56;119.3;98.99;110.43;98.62;108.03
"2025-03-01";108.09;96.4;133.81;114;123.54;107;103.45
"2025-04-01";100.83;97.49;113.12;100;114.75;104.72;83.89
"2025-05-01";93.31;93.7;108.5;91.95;105.87;95.73;78.49
